Property,Category Name,Fans (Latest in Date Range),Post Type,Promoted,Total Actions,Total Actions (Percent Share),Link to Post,Content of Post,Reactions,Comments,Shares,Views,Views (7 Days),Views (28 Days),Views (90 Days),Clicks,Was Live,Branded Content,Branded Content Sponsor,Link to Branded Content Sponsor,Date Published (UTC)
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,26,0.68%,https://www.facebook.com/117917151585263/posts/1459486620761636,"Breakfast, lunch, or dinner – Craisins® Dried Cranberries are delicious as a standalone snack or as part of a recipe! Tag us to share what you've whipped up! http://bit.ly/1f8bEwU",22,1,3,"1,543","1,300","1,471","1,523",2,,FALSE,n/a,n/a,2017-06-14T14:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,25,0.65%,https://www.facebook.com/117917151585263/posts/1564094546967509,#Westworld actors Leonardo Nam Louis Herthum and Clifton Collins Jr. enter our #OceanSpray world at the Kari Feinstein Public Relations #StyleLounge in #Hollywood for a little #TVAwards #AwardsShow pre-celebration,24,1,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-16T02:44:42+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,25,0.65%,https://www.facebook.com/117917151585263/posts/1536051713105126,"How do you happy hour? With Ocean Spray® Mocktails, there’s no wrong answer. #happierhour",20,3,2,0,0,0,0,47,,FALSE,n/a,n/a,2017-08-14T15:23:09+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,25,0.65%,https://www.facebook.com/117917151585263/posts/1459479987428966,Warm weather + good friends + a cooler of your favorite goodies = the perfect beach day 🌴,23,0,2,0,0,0,0,28,,FALSE,n/a,n/a,2017-07-16T14:01:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,24,0.62%,https://www.facebook.com/117917151585263/posts/1562905783753052,Getting REDy to roll out the cranberry red carpet at the Kari Feinstein Public Relations #StyleLounge in prep of Sunday's #Primetime #TVAwards,23,0,1,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-14T19:10:46+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,23,0.60%,https://www.facebook.com/117917151585263/posts/1587163267993970,"It may be Friday the 13th, but we're feeling berry lucky – at least it's Friday, right? Cheers to that with Fall's Favorite Cocktail!",20,1,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-13T17:07:17+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,23,0.60%,https://www.facebook.com/117917151585263/posts/1551753261534971,Make your happy hour peachy with Ocean Spray® Cranberry Peach Bellini Mocktails. #happierhour http://bit.ly/2gvxiJj,21,1,1,"1,370","1,084","1,293","1,370",11,,FALSE,n/a,n/a,2017-09-01T14:22:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,22,0.57%,https://www.facebook.com/117917151585263/posts/1565497116827252,"#13ReasonsWhy actress #AnneWinters celebrates the show biz at the Kari Feinstein Public Relations #StyleLounge #TVAwards kick-off. Get the recipe for the fitting #cranberry #cocktail - ""The Biz"" featured at the event and below here: www.oceanspray.com/Recipes/Corporate/Drinks-Cocktails/The-Biz.aspx",20,0,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-17T18:37:23+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,22,0.57%,https://www.facebook.com/117917151585263/posts/1459480964095535,Mix things up a bit and taste the floral flavor with this Hibiscus Punch!,17,2,3,0,0,0,0,26,,FALSE,n/a,n/a,2017-07-25T15:34:18+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,21,0.55%,https://www.facebook.com/117917151585263/posts/1538901836153447,"We'll give you a hint: they're delicious, nutritious and an easy grab for last-minute summer outings – Craisins® Dried Cranberries, a proud partner of Team FNV. #TheAnswerisCraisins http://bit.ly/2wjGDJX",20,0,1,"1,355","1,199","1,290","1,355",2,,FALSE,n/a,n/a,2017-08-17T17:49:53+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,20,0.52%,https://www.facebook.com/117917151585263/posts/1599760830067547,"What's a party without a little pizza? This Spider Web Dessert Pizza is a sweet treat, no matter how you slice it. http://spr.ly/61848CMlC",14,0,6,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-27T15:00:02+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,19,0.49%,https://www.facebook.com/117917151585263/posts/1565554573488173,"Still not sure what to make for tonight's #AwardsShow? Try one of our four signature #TVAwards cocktails, whether you enjoy a good drama with our Dramatic Diva, are a bit of a Scene Stealer, more of a Chuckle Chaser, or just enjoy The Biz, you can find the perfect recipe here: www.oceanspray.com/Ocean-Spray-Recipes/By-Category/Newest.aspx",17,0,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-17T20:16:41+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,19,0.49%,https://www.facebook.com/117917151585263/posts/1564751953568435,"No, PJ Byrne we weren't lying. This is really one of our #OceanSpray Farmer-Owners! Thanks for visiting us at the Kari Feinstein Public Relations #StyleLounge. We can't wait for tomorrow's #TVAwards #AwardsShow #BigLittleLies",17,0,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-16T21:01:43+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,19,0.49%,https://www.facebook.com/117917151585263/posts/1563846856992278,From #ThisIsUs the adorable #ErisBaker gets a fun and flavorful taste of who Ocean Spray is at the @KariFeinstein #StyleLounge. #WeAreCranberryGrowers Best of luck to the show this Sunday! #TVAwards,17,1,1,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-15T19:08:37+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,19,0.49%,https://www.facebook.com/117917151585263/posts/1563727520337545,Thanks Stephanie Beatriz for the bogside chat yesterday at the Kari Feinstein Public Relations Style Lounge. We can't wait for Sunday's #TVAwards #AwardsShow #BrooklynNineNine,19,0,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-15T16:39:44+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,18,0.47%,https://www.facebook.com/117917151585263/posts/1600548659988764,Need a kid-friendly option for your ghoulish gatherings this Halloween weekend? Try this Ghoulishly Grape Punch. http://spr.ly/61818CMWX,14,1,3,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-28T13:00:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,18,0.47%,https://www.facebook.com/117917151585263/posts/1543895302320767,"Easy to pack and snack and with 25% of your daily fruit intake needs per serving, Craisins® Dried Cranberries are always a smart choice. #TheAnswerisCraisins http://bit.ly/2w3FC6M",16,2,0,"1,076",889,"1,012","1,076",3,,FALSE,n/a,n/a,2017-08-23T16:30:21+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,17,0.44%,https://www.facebook.com/117917151585263/posts/1603419673034996,Have a fab-BOO-lous Halloween & don't forget to treat yourself! Here's a last-minute trick to help keep you out of the candy bowl tonight – Milk Chocolate or Greek Yogurt Covered Craisins® Dried Cranberries. http://spr.ly/61838CMv7,16,0,1,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-31T16:00:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,17,0.44%,https://www.facebook.com/117917151585263/posts/1567075506669413,Why limit happy hour to a bar? Bring happy hour home with Ocean Spray® Mocktails tonight. #HappierHour http://bit.ly/2hdNsqW,14,1,2,0,0,0,0,27,,FALSE,n/a,n/a,2017-09-19T17:26:57+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,17,0.44%,https://www.facebook.com/117917151585263/posts/1563947986982165,#Ballers actress Emayatzy Corinealdi having a ball with #OceanSpray at the Kari Feinstein Public Relations #Stylelounge in #Hollywood to get ready for Sunday's #TVAwards #AwardsShow,16,1,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-15T22:02:10+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,17,0.44%,https://www.facebook.com/117917151585263/posts/1542177432492554,"That first day back can be tough. Add a little something extra to their lunchbox to get them through it – Craisins® Dried Cranberries, a proud partner of Team FNV. #TheAnswerisCraisins http://bit.ly/2wr4Crs",13,2,2,"1,723","1,528","1,646","1,723",2,,FALSE,n/a,n/a,2017-08-21T15:45:28+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,16,0.42%,https://www.facebook.com/117917151585263/posts/1564853963558234,Love a good drama? Stunning Carly Hughes from #AmericanHousewife sips an #OceanSpray signature #TVAwards cranberry cocktail at the Kari Feinstein Public Relations #StyleLounge in preparation for Sunday's #AwardsShow - Get the recipe for The Dramatic Diva for your pre-awards show party here: www.oceanspray.com/Recipes/Corporate/Drinks-Cocktails/The-Dramatic-Diva.aspx,15,0,1,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-16T23:49:26+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,15,0.39%,https://www.facebook.com/117917151585263/posts/1564627063580924,Curtiss Cook from #HouseofCards enters our house of cranberries at the Kari Feinstein Public Relations #StyleLounge in #Hollywood #TVAwards,15,0,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-16T18:00:25+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,15,0.39%,https://www.facebook.com/117917151585263/posts/1539763416067289,"Delicious, nutritious and flavorfully fun, Craisins® Dried Cranberries are an easy grab for your beach bag. #TheAnswerIsCraisins http://bit.ly/1BuLB1D",14,0,1,"1,784","1,589","1,702","1,784",0,,FALSE,n/a,n/a,2017-08-19T11:00:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,15,0.39%,https://www.facebook.com/117917151585263/posts/1459466847430280,Happy Monday! Power through your work week and keep your snack game strong with Craisins® Dried Cranberries.,11,1,3,0,0,0,0,20,,FALSE,n/a,n/a,2017-06-19T13:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,14,0.36%,https://www.facebook.com/117917151585263/posts/1603578159685814,Make your kitchen smell like autumnal heaven. See this and other upcoming delicious recipes now featuring Ocean Spray® Craisins® Dried Cranberries in #HelloFresh meal kits. Let us know if you try it! http://spr.ly/61888hrQE #HallowFresh,13,0,1,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-31T19:42:01+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,13,0.34%,https://www.facebook.com/117917151585263/posts/1536938486349782,"Ocean Spray and Team FNV know how to keep the good times rolling, whether you're out on a quick bike ride to enjoy the warm afternoon air or to that new park with the whole family. How do you enjoy your Craisins® Dried Cranberries during summer activities? #TheAnswerisCraisins http://bit.ly/1BuLB1D",12,1,0,"1,091",948,"1,010","1,091",2,,FALSE,n/a,n/a,2017-08-15T14:00:23+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,11,0.29%,https://www.facebook.com/117917151585263/posts/1586583811385249,Ocean Spray updated their cover photo.,11,0,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-13T02:07:33+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,9,0.23%,https://www.facebook.com/117917151585263/posts/1460360234007608,Ocean Spray updated their cover photo.,9,0,0,0,0,0,0,0,,FALSE,n/a,n/a,2017-06-01T14:47:42+00:00
