Property,Category Name,Fans (Latest in Date Range),Post Type,Promoted,Total Actions,Total Actions (Percent Share),Link to Post,Content of Post,Reactions,Comments,Shares,Views,Views (7 Days),Views (28 Days),Views (90 Days),Clicks,Was Live,Branded Content,Branded Content Sponsor,Link to Branded Content Sponsor,Date Published (UTC)
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,62,1.61%,https://www.facebook.com/117917151585263/posts/1486437984733166,"One of those days, huh? Unwind with an Ocean Spray® Mocktail. The taste will take you away. http://bit.ly/2ue7Vgy",47,6,9,"2,881","2,689","2,816","2,881",23,,FALSE,n/a,n/a,2017-06-27T15:20:32+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,58,1.51%,https://www.facebook.com/117917151585263/posts/1459485117428453,Staying in? Whip up a batch of this Caramel Corn & Craisins® Dried Cranberries Snack Mix for a delicious movie night treat! http://bit.ly/1nj1Olw,39,2,17,"2,445","2,217","2,297","2,441",43,,FALSE,n/a,n/a,2017-07-28T15:19:37+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,57,1.48%,https://www.facebook.com/117917151585263/posts/1459480394095592,Celebrate the season with a spritzer! This Cranberry Lime Mint Spritzer is one of our favorites!,40,2,15,0,0,0,0,111,,FALSE,n/a,n/a,2017-07-20T13:02:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,56,1.46%,https://www.facebook.com/117917151585263/posts/1563033850406912,"Ocean Spray Grower-Owner, Clinton May, introduced Matt Iseman from #AmericanNinjaWarrior to the ninja fruit and the power of cranberry at the Kari Feinstein Public Relations Style Lounge in #Hollywood today #TVAwards",50,3,3,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-14T23:10:44+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,55,1.43%,https://www.facebook.com/117917151585263/posts/1459468380763460,Do you know who's the perfect picnic partner? Ocean Spray®!,45,4,6,0,0,0,0,0,,FALSE,n/a,n/a,2017-06-28T17:25:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,54,1.41%,https://www.facebook.com/117917151585263/posts/1594149573962006,"We're excited to be at #FNCE this weekend in #Chicago talking #cranberry health, heritage and taste! If you're here as well, come check out our #bog & booth 1853 to see what's fresh at Ocean Spray this year!",47,1,6,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-21T17:42:03+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,53,1.38%,https://www.facebook.com/117917151585263/posts/1601341109909519,Now here's a fall treat that will have everyone running to the breakfast table! The bold flavors in our Gingerbread Pancakes with Cranberry Orange Syrup are sure to be your new weekend favorite. http://spr.ly/61868CMqg,37,1,15,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-29T11:00:01+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,52,1.35%,https://www.facebook.com/117917151585263/posts/1459477527429212,"Nothing beats an ice cold drink on a hot summer day, so grab a glass of our refreshing Cranberry Juice Cocktail.",44,2,6,0,0,0,0,26,,FALSE,n/a,n/a,2017-07-12T15:20:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,52,1.35%,https://www.facebook.com/117917151585263/posts/1480824148627883,"With ready-to-drink Mocktails, the work’s all done—now you have time to dress up your drink! #happierhour",37,4,11,"7,533","7,108","7,435","7,508",0,,FALSE,n/a,n/a,2017-06-22T20:45:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,51,1.33%,https://www.facebook.com/117917151585263/posts/1593208687389428,#DidYouKnow: 1/4 cup of Ocean Spray® Reduced Sugar Craisins® Dried Cranberries provide a good source of fiber & 25% of daily fruit recommendations? Get your nutritional fix at #FNCE in #Chicago this weekend or learn more at: oceanspray.com,40,2,9,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-20T15:39:02+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,50,1.30%,https://www.facebook.com/117917151585263/posts/1602629589780671,"This Halloween Bark is the perfect combination of smooth, crunchy, sweet and salty, and you won't believe how easy it is to make! http://spr.ly/61888CMty",34,0,16,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-30T19:00:01+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,50,1.30%,https://www.facebook.com/117917151585263/posts/1589825514394412,"Have you heard what's fresh in the #FNCE line-up for this weekend? Fresh cranberries! Ocean Spray is bringing the bog to #Chicago to share the ins and outs of our latest and greatest cranberry creations. Learn more about our health, heritage and taste at booth #1853 #EatMoreCranberries #OceanSpray",45,2,3,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-16T15:57:46+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,46,1.20%,https://www.facebook.com/117917151585263/posts/1459464514097180,It's a muffin kind of Monday.,32,0,14,0,0,0,0,68,,FALSE,n/a,n/a,2017-06-12T13:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,43,1.12%,https://www.facebook.com/117917151585263/posts/1575426699167627,"Our #bog on the #NationalMall is REDy! Visit us & other cooperatives tomorrow & Sunday in the <3 of D.C. at the #CoopFestival for live music, fun & of course, cranberries! Learn more at coopfestival.coop & be sure to follow the fun on our Instagram story if you can’t make it: #CoopMonth #EatMoreCranberries #OceanSprayHarvest #CranberryLife",31,0,12,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-29T20:47:24+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,43,1.12%,https://www.facebook.com/117917151585263/posts/1564678943575736,#Twilight and #TheLastShip star Jackson Rathbone and his wife visited us at the Kari Feinstein Public Relations #StyleLounge to get REDy for the #TVAwards #AwardsShow tomorrow. Get the recipes for their pre-celebration #cranberry #cocktails -The Chuckle Chaser and The Biz here to get REDy too: www.oceanspray.com/Ocean-Spray-Recipes/By-Category/Newest.aspx,40,2,1,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-16T19:15:33+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,43,1.12%,https://www.facebook.com/117917151585263/posts/1547316971978600,Swap Mocktails for your cocktails this #SundayFunday for a #HappierHour. http://bit.ly/2vtrimX,36,2,5,0,0,0,0,19,,FALSE,n/a,n/a,2017-08-27T16:11:31+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,43,1.12%,https://www.facebook.com/117917151585263/posts/1459475884096043,Lather. Grill. Repeat.,23,2,18,0,0,0,0,90,,FALSE,n/a,n/a,2017-07-10T16:00:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,42,1.09%,https://www.facebook.com/117917151585263/posts/1591772200866410,"Mouthwatering Cranberry Mustard Sauce or the fact that it's done in less than 30 minutes? We can't decide, which do you think is the best part about these chicken tenderloins? http://spr.ly/61828736w",23,1,18,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-18T22:36:34+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,42,1.09%,https://www.facebook.com/117917151585263/posts/1548058148571149,Today is the last day to enter for a chance to win the JetBlue Aruba getaway. bit.ly/2wlC1zX,33,1,8,0,0,0,0,168,,FALSE,n/a,n/a,2017-08-28T13:54:04+00:00
