ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
9/3/15,9:15,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,9,Thu
1/20/16,11:24,$0.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Wed
2/29/16,14:51,$40.00,LOT 15 - JAQUA,NO UO PERMIT,14,Mon
3/11/16,13:08,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Fri
11/25/15,9:05,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,9,Wed
3/28/16,11:03,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Mon
1/20/16,11:26,$0.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Wed
9/3/15,9:18,$35.00,LOT 15 - JAQUA,NO PERMIT FOR AREA,9,Thu
11/25/15,9:03,$40.00,LOT 15 - JAQUA,NO UO PERMIT,9,Wed
12/10/15,14:23,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,14,Thu
11/25/15,10:32,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,10,Wed
12/10/15,14:24,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,14,Thu
11/25/15,9:06,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,9,Wed
12/1/15,13:21,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Tue
3/16/16,10:11,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,10,Wed
12/1/15,13:18,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Tue
12/1/15,13:19,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Tue
5/9/16,13:47,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Mon
5/9/16,13:48,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Mon
5/9/16,13:50,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Mon
3/28/16,11:01,$40.00,LOT 15 - JAQUA,NO UO PERMIT,11,Mon
12/1/15,13:17,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Tue
4/22/16,14:41,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,14,Fri
4/21/16,11:25,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
4/14/16,11:39,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
3/16/16,10:13,$40.00,LOT 15 - JAQUA,NO UO PERMIT,10,Wed
5/6/16,14:19,$40.00,LOT 15 - JAQUA,NO UO PERMIT,14,Fri
5/6/16,14:22,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,14,Fri
5/6/16,14:18,$40.00,LOT 15 - JAQUA,NO UO PERMIT,14,Fri
4/26/16,10:06,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,10,Tue
1/28/16,11:13,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
4/14/16,11:41,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
4/21/16,11:24,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
2/15/16,13:09,$40.00,LOT 15 - JAQUA,NO UO PERMIT,13,Mon
1/28/16,11:16,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
1/28/16,11:19,$40.00,LOT 15 - JAQUA,NO UO PERMIT,11,Thu
2/15/16,13:17,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Mon
4/21/16,11:21,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
4/14/16,11:36,$40.00,LOT 15 - JAQUA,NO UO PERMIT,11,Thu
12/1/15,13:12,$40.00,LOT 15 - JAQUA,NO UO PERMIT,13,Tue
12/1/15,13:15,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,13,Tue
12/1/15,13:14,$40.00,LOT 15 - JAQUA,NO UO PERMIT,13,Tue
11/25/15,9:07,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,9,Wed
4/14/16,11:40,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,11,Thu
5/13/16,10:35,$0.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,10,Fri
5/13/16,10:38,$20.00,LOT 15 - JAQUA,OVERTIME PAYSTATION,10,Fri
